annotation	stage	count
cDNA_All	H3K4me3_stage9_2	39
cDNA_All	H3K4me3_stage6	33
cDNA_All	H3K4me3_stage11	46
cDNA_All	H3K4me3_st11_ni	50
cDNA_All	H3K4me3_stage11a	46
cDNA_All	H3K4me3_stage9	36
cDNA_All	H3K4me3_stage10.5	45
cDNA_All	H3K4me3_stage12	50
cDNA_All	H3K4me3_stage8	33
cDNA_All	H3K4me3_stage16	47
cDNA_All	H3K4me3_stage30	46
xlaevisEST	H3K4me3_stage9_2	40
xlaevisEST	H3K4me3_stage6	51
xlaevisEST	H3K4me3_stage11	58
xlaevisEST	H3K4me3_st11_ni	50
xlaevisEST	H3K4me3_stage11a	60
xlaevisEST	H3K4me3_stage9	37
xlaevisEST	H3K4me3_stage10.5	40
xlaevisEST	H3K4me3_stage12	41
xlaevisEST	H3K4me3_stage8	51
xlaevisEST	H3K4me3_stage16	48
xlaevisEST	H3K4me3_stage30	49
xlaevisMRNA	H3K4me3_stage9_2	37
xlaevisMRNA	H3K4me3_stage6	36
xlaevisMRNA	H3K4me3_stage11	47
xlaevisMRNA	H3K4me3_st11_ni	48
xlaevisMRNA	H3K4me3_stage11a	49
xlaevisMRNA	H3K4me3_stage9	36
xlaevisMRNA	H3K4me3_stage10.5	42
xlaevisMRNA	H3K4me3_stage12	45
xlaevisMRNA	H3K4me3_stage8	36
xlaevisMRNA	H3K4me3_stage16	44
xlaevisMRNA	H3K4me3_stage30	46
xtropEST	H3K4me3_stage9_2	48
xtropEST	H3K4me3_stage6	44
xtropEST	H3K4me3_stage11	52
xtropEST	H3K4me3_st11_ni	52
xtropEST	H3K4me3_stage11a	52
xtropEST	H3K4me3_stage9	42
xtropEST	H3K4me3_stage10.5	49
xtropEST	H3K4me3_stage12	47
xtropEST	H3K4me3_stage8	44
xtropEST	H3K4me3_stage16	50
xtropEST	H3K4me3_stage30	52
xtropMRNA	H3K4me3_stage9_2	51
xtropMRNA	H3K4me3_stage6	45
xtropMRNA	H3K4me3_stage11	60
xtropMRNA	H3K4me3_st11_ni	65
xtropMRNA	H3K4me3_stage11a	62
xtropMRNA	H3K4me3_stage9	47
xtropMRNA	H3K4me3_stage10.5	59
xtropMRNA	H3K4me3_stage12	62
xtropMRNA	H3K4me3_stage8	45
xtropMRNA	H3K4me3_stage16	66
xtropMRNA	H3K4me3_stage30	64
Xenbase	H3K4me3_stage9_2	18
Xenbase	H3K4me3_stage6	13
Xenbase	H3K4me3_stage11	21
Xenbase	H3K4me3_st11_ni	23
Xenbase	H3K4me3_stage11a	21
Xenbase	H3K4me3_stage9	16
Xenbase	H3K4me3_stage10.5	18
Xenbase	H3K4me3_stage12	20
Xenbase	H3K4me3_stage8	13
Xenbase	H3K4me3_stage16	22
Xenbase	H3K4me3_stage30	20
Pita	H3K4me3_stage9_2	46
Pita	H3K4me3_stage6	37
Pita	H3K4me3_stage11	52
Pita	H3K4me3_st11_ni	55
Pita	H3K4me3_stage11a	53
Pita	H3K4me3_stage9	40
Pita	H3K4me3_stage10.5	50
Pita	H3K4me3_stage12	52
Pita	H3K4me3_stage8	37
Pita	H3K4me3_stage16	57
Pita	H3K4me3_stage30	55
